,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0005,5,10000,5,5,5.0,5.0,0.8997,8992,5
1,4,2,0.0008,8,10000,1,3,2.0,2.0,0.9027,9019,8
2,4,3,0.0019,19,10000,1,13,2.5,4.75,0.9057,9038,19
3,2,4,0.0044,44,10000,17,27,22.0,22.0,0.9087,9043,44
4,2,5,0.0068,68,10000,2,66,34.0,34.0,0.9117,9049,68
5,1,6,0.0094,94,10000,94,94,94.0,94.0,0.9147,9053,94
6,4,7,0.0127,127,10000,1,124,1.0,31.75,0.9177,9050,127
7,4,8,0.0162,162,10000,1,156,2.5,40.5,0.9207,9045,162
8,3,9,0.0219,219,10000,1,212,6.0,73.0,0.9237,9018,219
9,2,10,0.0307,307,10000,1,306,153.5,153.5,0.9267,8960,307
10,1,11,0.0385,385,10000,385,385,385.0,385.0,0.9297,8912,385
11,2,12,0.0447,447,10000,1,446,223.5,223.5,0.9327,8880,447
12,6,13,0.0513,513,10000,1,506,1.5,85.5,0.9357,8844,513
13,4,14,0.0589,589,10000,1,586,1.0,147.25,0.9387,8797,589
14,4,15,0.0671,671,10000,1,668,1.0,167.75,0.9416,8744,671
15,1,16,0.0761,761,10000,761,761,761.0,761.0,0.9445,8679,761
16,5,17,0.0828,828,10000,1,824,1.0,165.6,0.947,8634,828
17,3,18,0.095,950,10000,1,948,1.0,316.6666666666667,0.9492,8535,950
18,4,19,0.1075,1075,10000,1,1072,1.0,268.75,0.9515,8434,1075
19,4,20,0.1224,1224,10000,1,1219,2.0,306.0,0.9539,8295,1224
20,5,21,0.1364,1364,10000,1,1352,1.0,272.8,0.9549,8163,1364
21,3,22,0.1491,1491,10000,1,1489,1.0,497.0,0.9557,8055,1491
22,6,23,0.1628,1628,10000,1,1622,1.0,271.3333333333333,0.9576,7929,1628
23,10,24,0.1773,1773,10000,1,1759,2.0,177.3,0.9587,7792,1773
24,13,25,0.1907,1907,10000,1,1873,2.0,146.69230769230768,0.9595,7646,1907
25,13,26,0.2068,2068,10000,1,2044,2.0,159.07692307692307,0.9583,7472,2068
26,16,27,0.222,2220,10000,1,2196,1.0,138.75,0.957,7314,2220
27,24,28,0.2386,2386,10000,1,2308,1.0,99.41666666666667,0.9564,7133,2386
28,15,29,0.2545,2545,10000,1,2507,1.0,169.66666666666666,0.9549,6953,2545
29,26,30,0.2707,2707,10000,1,2621,1.0,104.11538461538461,0.9528,6756,2707
30,33,31,0.287,2870,10000,1,2774,1.0,86.96969696969697,0.9493,6558,2870
31,34,32,0.3034,3034,10000,1,2898,1.0,89.23529411764706,0.9458,6355,3034
32,38,33,0.3211,3211,10000,1,3060,1.0,84.5,0.9419,6143,3211
33,48,34,0.3369,3369,10000,1,3221,2.0,70.1875,0.9384,5925,3369
34,62,35,0.3546,3546,10000,1,3371,1.0,57.193548387096776,0.9324,5679,3546
35,64,36,0.3725,3725,10000,1,3482,1.0,58.203125,0.9255,5466,3725
36,77,37,0.3924,3924,10000,1,3453,2.0,50.96103896103896,0.9221,5195,3924
37,78,38,0.4116,4116,10000,1,3607,2.0,52.76923076923077,0.9149,4922,4116
38,96,39,0.423,4230,10000,1,3799,1.5,44.0625,0.9068,4724,4230
39,111,40,0.4374,4374,10000,1,3686,2.0,39.4054054054054,0.8984,4506,4374
40,131,41,0.448,4480,10000,1,3818,2.0,34.19847328244275,0.891,4309,4480
41,134,42,0.4554,4554,10000,1,3912,2.0,33.985074626865675,0.8819,4128,4554
42,152,43,0.4644,4644,10000,1,3918,2.0,30.55263157894737,0.8712,3923,4644
43,179,44,0.475,4750,10000,1,4000,2.0,26.536312849162012,0.8597,3706,4750
