,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0001,1,10000,1,1,1.0,1.0,0.9022,9021,1
1,1,2,0.0005,5,10000,5,5,5.0,5.0,0.9052,9047,5
2,1,3,0.0013,13,10000,13,13,13.0,13.0,0.9082,9069,13
3,1,4,0.0019,19,10000,19,19,19.0,19.0,0.9112,9093,19
4,1,5,0.0033,33,10000,33,33,33.0,33.0,0.9142,9109,33
5,1,6,0.0047,47,10000,47,47,47.0,47.0,0.9172,9125,47
6,1,7,0.0064,64,10000,64,64,64.0,64.0,0.9202,9138,64
7,1,8,0.0092,92,10000,92,92,92.0,92.0,0.9232,9140,92
8,1,9,0.0127,127,10000,127,127,127.0,127.0,0.9262,9135,127
9,1,10,0.0161,161,10000,161,161,161.0,161.0,0.9292,9131,161
10,1,11,0.0207,207,10000,207,207,207.0,207.0,0.9322,9115,207
11,1,12,0.0239,239,10000,239,239,239.0,239.0,0.9352,9113,239
12,2,13,0.0283,283,10000,1,282,141.5,141.5,0.9382,9099,283
13,1,14,0.0346,346,10000,346,346,346.0,346.0,0.9412,9066,346
14,2,15,0.0414,414,10000,1,413,207.0,207.0,0.9442,9027,414
15,3,16,0.05,500,10000,2,494,4.0,166.66666666666666,0.9471,8969,500
16,2,17,0.0584,584,10000,1,583,292.0,292.0,0.9499,8912,584
17,1,18,0.0653,653,10000,653,653,653.0,653.0,0.9526,8870,653
18,1,19,0.0717,717,10000,717,717,717.0,717.0,0.9553,8828,717
19,5,20,0.08,800,10000,1,794,1.0,160.0,0.9575,8764,800
20,4,21,0.0896,896,10000,1,893,1.0,224.0,0.9594,8684,896
21,5,22,0.1,1000,10000,1,996,1.0,200.0,0.961,8601,1000
22,5,23,0.109,1090,10000,1,1086,1.0,218.0,0.9631,8532,1090
23,6,24,0.1208,1208,10000,1,1202,1.0,201.33333333333334,0.9652,8430,1208
24,2,25,0.1306,1306,10000,1,1305,653.0,653.0,0.9668,8336,1306
25,2,26,0.1386,1386,10000,1,1385,693.0,693.0,0.9672,8261,1386
26,4,27,0.1476,1476,10000,1,1471,2.0,369.0,0.9677,8174,1476
27,10,28,0.1586,1586,10000,1,1573,1.0,158.6,0.968,8058,1586
28,7,29,0.1723,1723,10000,1,1716,1.0,246.14285714285714,0.9674,7929,1723
29,5,30,0.187,1870,10000,1,1865,1.0,374.0,0.9682,7776,1870
30,8,31,0.2015,2015,10000,1,1986,3.0,251.875,0.9676,7626,2015
31,14,32,0.2136,2136,10000,1,2079,2.0,152.57142857142858,0.9671,7484,2136
