,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0004,4,10000,4,4,4.0,4.0,0.905,9046,4
1,1,2,0.0005,5,10000,5,5,5.0,5.0,0.908,9075,5
2,1,3,0.0012,12,10000,12,12,12.0,12.0,0.911,9098,12
3,1,4,0.0026,26,10000,26,26,26.0,26.0,0.914,9114,26
4,2,5,0.0041,41,10000,2,39,20.5,20.5,0.917,9129,41
5,1,6,0.0055,55,10000,55,55,55.0,55.0,0.92,9145,55
6,1,7,0.0065,65,10000,65,65,65.0,65.0,0.923,9165,65
7,1,8,0.0093,93,10000,93,93,93.0,93.0,0.926,9167,93
8,2,9,0.0112,112,10000,2,110,56.0,56.0,0.929,9178,112
9,1,10,0.0142,142,10000,142,142,142.0,142.0,0.932,9178,142
10,1,11,0.0166,166,10000,166,166,166.0,166.0,0.935,9184,166
11,1,12,0.0192,192,10000,192,192,192.0,192.0,0.938,9188,192
12,1,13,0.0224,224,10000,224,224,224.0,224.0,0.941,9184,224
13,1,14,0.0257,257,10000,257,257,257.0,257.0,0.9438,9180,257
14,2,15,0.0297,297,10000,4,293,148.5,148.5,0.9467,9170,297
15,1,16,0.035,350,10000,350,350,350.0,350.0,0.9497,9145,350
16,1,17,0.0407,407,10000,407,407,407.0,407.0,0.9525,9118,407
17,1,18,0.0457,457,10000,457,457,457.0,457.0,0.9555,9093,457
18,1,19,0.0537,537,10000,537,537,537.0,537.0,0.958,9041,537
19,1,20,0.0605,605,10000,605,605,605.0,605.0,0.9608,8997,605
20,2,21,0.0679,679,10000,1,678,339.5,339.5,0.9632,8944,679
21,2,22,0.0755,755,10000,1,754,377.5,377.5,0.9653,8885,755
22,2,23,0.0837,837,10000,1,836,418.5,418.5,0.967,8824,837
23,5,24,0.0956,956,10000,1,948,2.0,191.2,0.9691,8725,956
24,7,25,0.1051,1051,10000,1,1035,2.0,150.14285714285714,0.9711,8640,1051
25,4,26,0.1131,1131,10000,1,1122,4.0,282.75,0.9721,8575,1131
26,5,27,0.1239,1239,10000,1,1234,1.0,247.8,0.9736,8478,1239
27,7,28,0.1347,1347,10000,1,1336,1.0,192.42857142857142,0.9747,8382,1347
28,6,29,0.1435,1435,10000,1,1430,1.0,239.16666666666666,0.9759,8295,1435
29,4,30,0.1549,1549,10000,1,1545,1.5,387.25,0.976,8190,1549
30,2,31,0.1662,1662,10000,6,1656,831.0,831.0,0.9769,8078,1662
31,3,32,0.1764,1764,10000,2,1760,2.0,588.0,0.977,7973,1764
32,8,33,0.1888,1888,10000,1,1877,1.5,236.0,0.9767,7834,1888
33,7,34,0.2005,2005,10000,1,1996,1.0,286.42857142857144,0.9752,7705,2005
