,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0008,8,10000,8,8,8.0,8.0,0.9059,9051,8
1,1,2,0.0022,22,10000,22,22,22.0,22.0,0.9089,9067,22
2,2,3,0.0033,33,10000,1,32,16.5,16.5,0.9119,9086,33
3,1,4,0.0062,62,10000,62,62,62.0,62.0,0.9149,9087,62
4,1,5,0.0085,85,10000,85,85,85.0,85.0,0.9179,9094,85
5,1,6,0.0113,113,10000,113,113,113.0,113.0,0.9209,9096,113
6,5,7,0.0142,142,10000,1,138,1.0,28.4,0.9239,9097,142
7,4,8,0.0172,172,10000,1,169,1.0,43.0,0.9269,9097,172
8,2,9,0.0196,196,10000,1,195,98.0,98.0,0.9299,9103,196
9,1,10,0.023,230,10000,230,230,230.0,230.0,0.9329,9099,230
10,2,11,0.0267,267,10000,1,266,133.5,133.5,0.9359,9092,267
11,2,12,0.0312,312,10000,1,311,156.0,156.0,0.9389,9077,312
12,1,13,0.0359,359,10000,359,359,359.0,359.0,0.9419,9058,359
13,1,14,0.0416,416,10000,416,416,416.0,416.0,0.9447,9030,416
14,3,15,0.0456,456,10000,1,454,1.0,152.0,0.9476,9016,456
15,1,16,0.0514,514,10000,514,514,514.0,514.0,0.9502,8981,514
16,2,17,0.055,550,10000,1,549,275.0,275.0,0.9525,8972,550
17,1,18,0.0596,596,10000,596,596,596.0,596.0,0.9552,8948,596
18,1,19,0.0647,647,10000,647,647,647.0,647.0,0.9574,8915,647
19,4,20,0.07,700,10000,1,697,1.0,175.0,0.9592,8885,700
20,4,21,0.0763,763,10000,1,760,1.0,190.75,0.9615,8844,763
21,1,22,0.0828,828,10000,828,828,828.0,828.0,0.9637,8797,828
22,2,23,0.0872,872,10000,1,871,436.0,436.0,0.9655,8765,872
23,2,24,0.0918,918,10000,1,917,459.0,459.0,0.9667,8733,918
24,5,25,0.0984,984,10000,1,962,4.0,196.8,0.9681,8683,984
25,9,26,0.1035,1035,10000,1,1021,1.0,115.0,0.9697,8637,1035
26,10,27,0.1099,1099,10000,1,1049,2.0,109.9,0.9702,8576,1099
27,10,28,0.1157,1157,10000,1,1141,1.0,115.7,0.9705,8526,1157
28,7,29,0.1228,1228,10000,1,1221,1.0,175.42857142857142,0.9713,8464,1228
29,11,30,0.1304,1304,10000,1,1290,1.0,118.54545454545455,0.9722,8391,1304
30,12,31,0.1362,1362,10000,1,1321,1.0,113.5,0.9725,8334,1362
31,12,32,0.1431,1431,10000,1,1329,2.0,119.25,0.9726,8262,1431
32,8,33,0.1512,1512,10000,1,1501,1.5,189.0,0.9723,8169,1512
33,17,34,0.1573,1573,10000,1,1543,1.0,92.52941176470588,0.9711,8096,1573
34,19,35,0.1656,1656,10000,1,1630,1.0,87.15789473684211,0.9699,8004,1656
35,23,36,0.1766,1766,10000,1,1715,1.0,76.78260869565217,0.969,7889,1766
36,20,37,0.1844,1844,10000,1,1786,2.0,92.2,0.9685,7797,1844
37,20,38,0.1931,1931,10000,1,1874,1.0,96.55,0.9671,7693,1931
38,27,39,0.2049,2049,10000,1,1897,1.0,75.88888888888889,0.9654,7554,2049
39,27,40,0.2117,2117,10000,1,1974,1.0,78.4074074074074,0.9633,7456,2117
40,37,41,0.2192,2192,10000,1,1951,1.0,59.24324324324324,0.9603,7363,2192
41,30,42,0.2266,2266,10000,1,2117,1.0,75.53333333333333,0.9585,7254,2266
