,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0001,1,10000,1,1,1.0,1.0,0.9019,9018,1
1,3,2,0.0003,3,10000,1,1,1.0,1.0,0.9049,9046,3
2,3,3,0.0009,9,10000,2,4,3.0,3.0,0.9079,9070,9
3,1,4,0.0015,15,10000,15,15,15.0,15.0,0.9109,9094,15
4,2,5,0.0024,24,10000,1,23,12.0,12.0,0.9139,9115,24
5,1,6,0.0034,34,10000,34,34,34.0,34.0,0.9169,9135,34
6,1,7,0.0052,52,10000,52,52,52.0,52.0,0.9199,9147,52
7,2,8,0.006,60,10000,1,59,30.0,30.0,0.9229,9169,60
8,1,9,0.0071,71,10000,71,71,71.0,71.0,0.9259,9188,71
9,3,10,0.0084,84,10000,1,82,1.0,28.0,0.9289,9205,84
10,3,11,0.0105,105,10000,1,103,1.0,35.0,0.9319,9214,105
11,1,12,0.0134,134,10000,134,134,134.0,134.0,0.9349,9214,134
12,2,13,0.016,160,10000,1,159,80.0,80.0,0.9378,9218,160
13,1,14,0.0209,209,10000,209,209,209.0,209.0,0.9408,9199,209
14,1,15,0.0253,253,10000,253,253,253.0,253.0,0.9438,9183,253
15,2,16,0.0291,291,10000,4,287,145.5,145.5,0.9466,9170,291
16,2,17,0.0354,354,10000,5,349,177.0,177.0,0.9491,9136,354
17,2,18,0.0399,399,10000,4,395,199.5,199.5,0.952,9118,399
18,1,19,0.0446,446,10000,446,446,446.0,446.0,0.9547,9096,446
19,2,20,0.0498,498,10000,1,497,249.0,249.0,0.9572,9069,498
20,1,21,0.0564,564,10000,564,564,564.0,564.0,0.9597,9025,564
21,2,22,0.0655,655,10000,1,654,327.5,327.5,0.9619,8958,655
22,6,23,0.0713,713,10000,1,707,1.0,118.83333333333333,0.9643,8923,713
23,6,24,0.0788,788,10000,1,776,1.0,131.33333333333334,0.9666,8869,788
24,5,25,0.0862,862,10000,1,856,2.0,172.4,0.9687,8816,862
25,8,26,0.0938,938,10000,1,918,3.0,117.25,0.9708,8757,938
26,7,27,0.1003,1003,10000,1,985,1.0,143.28571428571428,0.9725,8706,1003
27,5,28,0.1103,1103,10000,1,1088,3.0,220.6,0.9739,8619,1103
28,2,29,0.1196,1196,10000,1,1195,598.0,598.0,0.9752,8535,1196
29,3,30,0.1299,1299,10000,1,1297,1.0,433.0,0.9761,8440,1299
30,3,31,0.1423,1423,10000,1,1421,1.0,474.3333333333333,0.9769,8319,1423
31,1,32,0.1536,1536,10000,1536,1536,1536.0,1536.0,0.9772,8209,1536
32,4,33,0.1643,1643,10000,1,1637,2.5,410.75,0.9775,8088,1643
33,5,34,0.1789,1789,10000,1,1782,1.0,357.8,0.9761,7934,1789
34,6,35,0.1898,1898,10000,1,1878,3.5,316.3333333333333,0.9753,7817,1898
35,10,36,0.2031,2031,10000,1,1988,2.0,203.1,0.9745,7676,2031
36,10,37,0.2149,2149,10000,1,2135,1.0,214.9,0.9737,7535,2149
37,12,38,0.2287,2287,10000,1,2267,1.0,190.58333333333334,0.9714,7384,2287
38,16,39,0.2404,2404,10000,1,2376,1.0,150.25,0.9701,7249,2404
39,15,40,0.2531,2531,10000,1,2506,1.0,168.73333333333332,0.9683,7084,2531
40,14,41,0.2658,2658,10000,1,2617,1.0,189.85714285714286,0.9645,6930,2658
41,14,42,0.2768,2768,10000,1,2737,1.0,197.71428571428572,0.9618,6773,2768
42,14,43,0.2905,2905,10000,1,2889,1.0,207.5,0.9571,6605,2905
43,21,44,0.3022,3022,10000,1,2993,1.0,143.9047619047619,0.954,6442,3022
44,26,45,0.3144,3144,10000,1,3099,1.0,120.92307692307692,0.9494,6282,3144
45,38,46,0.3291,3291,10000,1,3203,1.0,86.60526315789474,0.9456,6074,3291
46,36,47,0.3402,3402,10000,1,3342,1.0,94.5,0.9395,5904,3402
47,38,48,0.351,3510,10000,1,3319,1.0,92.36842105263158,0.9336,5726,3510
48,50,49,0.3602,3602,10000,1,3204,1.0,72.04,0.9266,5564,3602
49,54,50,0.3691,3691,10000,1,3163,1.0,68.35185185185185,0.9196,5391,3691
50,66,51,0.3744,3744,10000,1,2962,1.0,56.72727272727273,0.9112,5245,3744
51,79,52,0.3814,3814,10000,1,2995,1.0,48.278481012658226,0.9019,5089,3814
52,85,53,0.3919,3919,10000,1,3110,1.0,46.10588235294118,0.8933,4911,3919
53,87,54,0.4044,4044,10000,1,3227,1.0,46.48275862068966,0.886,4718,4044
54,115,55,0.4111,4111,10000,1,3189,1.0,35.74782608695652,0.8792,4551,4111
55,131,56,0.4173,4173,10000,1,3119,1.0,31.85496183206107,0.8692,4387,4173
56,164,57,0.4182,4182,10000,1,2988,2.0,25.5,0.859,4238,4182
57,187,58,0.42,4200,10000,1,2965,2.0,22.459893048128343,0.845,4093,4200
58,220,59,0.4187,4187,10000,1,2737,2.0,19.03181818181818,0.8323,3976,4187
59,227,60,0.4259,4259,10000,1,2805,2.0,18.762114537444933,0.8193,3818,4259
60,255,61,0.4293,4293,10000,1,2811,2.0,16.83529411764706,0.8107,3666,4293
61,281,62,0.4341,4341,10000,1,2842,2.0,15.448398576512455,0.7989,3514,4341
62,297,63,0.4384,4384,10000,1,2897,2.0,14.760942760942761,0.7885,3369,4384
63,309,64,0.441,4410,10000,1,2879,2.0,14.271844660194175,0.7783,3215,4410
64,333,65,0.4422,4422,10000,1,2894,2.0,13.27927927927928,0.7655,3074,4422
65,366,66,0.4388,4388,10000,1,2777,2.0,11.989071038251366,0.7526,2948,4388
66,388,67,0.4412,4412,10000,1,2658,2.0,11.371134020618557,0.7366,2803,4412
67,406,68,0.4469,4469,10000,1,2737,2.0,11.007389162561577,0.7245,2646,4469
68,435,69,0.4509,4509,10000,1,2805,2.0,10.36551724137931,0.7145,2482,4509
69,467,70,0.4508,4508,10000,1,2674,2.0,9.653104925053533,0.7021,2342,4508
70,512,71,0.4516,4516,10000,1,2698,2.0,8.8203125,0.688,2212,4516
71,528,72,0.4512,4512,10000,1,2627,2.0,8.545454545454545,0.6758,2098,4512
72,569,73,0.4494,4494,10000,1,2545,2.0,7.898066783831283,0.664,1987,4494
73,581,74,0.4485,4485,10000,1,2513,2.0,7.719449225473322,0.6511,1881,4485
74,610,75,0.4504,4504,10000,1,2541,2.0,7.383606557377049,0.6396,1735,4504
75,626,76,0.4521,4521,10000,1,2613,2.0,7.222044728434505,0.6269,1603,4521
76,653,77,0.456,4560,10000,1,2560,2.0,6.983154670750383,0.6154,1432,4560
77,684,78,0.4557,4557,10000,1,2515,2.0,6.662280701754386,0.6022,1308,4557
78,705,79,0.4584,4584,10000,1,2447,2.0,6.502127659574468,0.5895,1155,4584
79,713,80,0.4602,4602,10000,1,2524,2.0,6.454417952314166,0.5769,1012,4602
80,733,81,0.461,4610,10000,1,2455,1.0,6.289222373806275,0.5644,881,4610
81,747,82,0.4595,4595,10000,1,2467,1.0,6.151271753681392,0.5521,767,4595
82,775,83,0.4551,4551,10000,1,2341,1.0,5.872258064516129,0.5392,677,4551
83,801,84,0.4484,4484,10000,1,2271,1.0,5.598002496878902,0.5258,605,4484
84,806,85,0.4408,4408,10000,1,2184,1.0,5.4689826302729525,0.5119,557,4408
85,823,86,0.434,4340,10000,1,2163,1.0,5.273390036452005,0.4995,507,4340
86,844,87,0.4248,4248,10000,1,2043,1.0,5.033175355450237,0.4877,477,4248
87,866,88,0.4156,4156,10000,1,2005,1.0,4.799076212471132,0.4755,443,4156
88,877,89,0.4073,4073,10000,1,1897,1.0,4.6442417331813,0.4629,412,4073
89,874,90,0.3978,3978,10000,1,1810,1.0,4.551487414187643,0.4515,387,3978
90,891,91,0.3856,3856,10000,1,1704,1.0,4.327721661054994,0.4395,388,3856
91,895,92,0.3721,3721,10000,1,1568,1.0,4.157541899441341,0.4274,398,3721
92,904,93,0.3595,3595,10000,1,1356,1.0,3.976769911504425,0.4149,395,3595
93,930,94,0.3466,3466,10000,1,1198,1.0,3.7268817204301077,0.402,411,3466
94,954,95,0.3335,3335,10000,1,603,1.0,3.4958071278825997,0.3907,428,3335
95,970,96,0.3211,3211,10000,1,547,1.0,3.3103092783505152,0.3793,444,3211
96,989,97,0.3117,3117,10000,1,337,1.0,3.151668351870576,0.3685,447,3117
97,1001,98,0.3001,3001,10000,1,275,1.0,2.998001998001998,0.3594,461,3001
98,1005,99,0.2895,2895,10000,1,205,1.0,2.8805970149253732,0.3492,476,2895
99,1028,100,0.279,2790,10000,1,194,1.0,2.7140077821011674,0.3401,490,2790
100,1029,101,0.2687,2687,10000,1,127,1.0,2.611273080660836,0.331,509,2687
101,1038,102,0.2582,2582,10000,1,75,1.0,2.48747591522158,0.3226,522,2582
102,1040,103,0.2495,2495,10000,1,72,1.0,2.3990384615384617,0.3134,543,2495
103,1053,104,0.2412,2412,10000,1,69,1.0,2.2905982905982905,0.3068,564,2412
104,1053,105,0.2349,2349,10000,1,53,1.0,2.230769230769231,0.3006,574,2349
105,1045,106,0.2297,2297,10000,1,42,1.0,2.198086124401914,0.2953,577,2297
106,1039,107,0.2237,2237,10000,1,42,1.0,2.153031761308951,0.2904,593,2237
107,1026,108,0.2181,2181,10000,1,34,1.0,2.125730994152047,0.286,603,2181
108,1014,109,0.2134,2134,10000,1,34,1.0,2.1045364891518736,0.2814,609,2134
109,1014,110,0.2085,2085,10000,1,28,1.0,2.0562130177514795,0.2773,621,2085
110,1009,111,0.2027,2027,10000,1,27,1.0,2.0089197224975224,0.2736,635,2027
111,998,112,0.1962,1962,10000,1,18,1.0,1.965931863727455,0.2692,651,1962
112,985,113,0.1902,1902,10000,1,17,1.0,1.930964467005076,0.2643,665,1902
113,969,114,0.1856,1856,10000,1,17,1.0,1.915376676986584,0.2597,682,1856
114,970,115,0.18,1800,10000,1,17,1.0,1.8556701030927836,0.2568,708,1800
115,960,116,0.1755,1755,10000,1,14,1.0,1.828125,0.2538,720,1755
116,938,117,0.1712,1712,10000,1,14,1.0,1.8251599147121536,0.2505,740,1712
117,935,118,0.1689,1689,10000,1,13,1.0,1.8064171122994652,0.2482,751,1689
118,913,119,0.1661,1661,10000,1,14,1.0,1.819277108433735,0.247,766,1661
119,908,120,0.1617,1617,10000,1,12,1.0,1.7808370044052864,0.2457,787,1617
120,909,121,0.1593,1593,10000,1,12,1.0,1.7524752475247525,0.2434,804,1593
121,898,122,0.1568,1568,10000,1,11,1.0,1.7461024498886415,0.2427,820,1568
122,890,123,0.1531,1531,10000,1,11,1.0,1.7202247191011235,0.2418,842,1531
123,883,124,0.15,1500,10000,1,14,1.0,1.6987542468856172,0.2403,855,1500
124,866,125,0.1461,1461,10000,1,11,1.0,1.6870669745958429,0.2385,883,1461
125,851,126,0.142,1420,10000,1,13,1.0,1.6686251468860165,0.2374,905,1420
126,836,127,0.1381,1381,10000,1,10,1.0,1.6519138755980862,0.2355,926,1381
127,824,128,0.135,1350,10000,1,10,1.0,1.6383495145631068,0.2337,950,1350
128,809,129,0.1325,1325,10000,1,11,1.0,1.637824474660074,0.233,960,1325
129,784,130,0.1269,1269,10000,1,9,1.0,1.6186224489795917,0.2315,990,1269
130,777,131,0.123,1230,10000,1,9,1.0,1.583011583011583,0.2289,1019,1230
131,765,132,0.1202,1202,10000,1,9,1.0,1.5712418300653594,0.2279,1039,1202
132,747,133,0.1166,1166,10000,1,9,1.0,1.5609103078982598,0.2271,1063,1166
133,737,134,0.1139,1139,10000,1,9,1.0,1.5454545454545454,0.2259,1081,1139
134,726,135,0.1111,1111,10000,1,8,1.0,1.5303030303030303,0.225,1105,1111
135,710,136,0.1091,1091,10000,1,8,1.0,1.536619718309859,0.2246,1121,1091
136,700,137,0.1076,1076,10000,1,8,1.0,1.5371428571428571,0.2242,1141,1076
137,682,138,0.1045,1045,10000,1,8,1.0,1.532258064516129,0.2247,1165,1045
138,663,139,0.1016,1016,10000,1,9,1.0,1.5324283559577678,0.224,1187,1016
139,657,140,0.1006,1006,10000,1,9,1.0,1.5312024353120244,0.2233,1209,1006
140,641,141,0.0992,992,10000,1,9,1.0,1.547581903276131,0.2245,1229,992
141,626,142,0.0957,957,10000,1,9,1.0,1.5287539936102237,0.2251,1253,957
