,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0001,1,10000,1,1,1.0,1.0,0.904,9039,1
1,1,2,0.0001,1,10000,1,1,1.0,1.0,0.907,9069,1
2,2,3,0.0004,4,10000,1,3,2.0,2.0,0.91,9096,4
3,2,4,0.0015,15,10000,1,14,7.5,7.5,0.913,9115,15
4,4,5,0.0023,23,10000,1,20,1.0,5.75,0.916,9137,23
5,2,6,0.0044,44,10000,3,41,22.0,22.0,0.919,9146,44
6,3,7,0.0055,55,10000,1,49,5.0,18.333333333333332,0.922,9165,55
7,3,8,0.0076,76,10000,1,70,5.0,25.333333333333332,0.925,9174,76
8,4,9,0.0096,96,10000,1,91,2.0,24.0,0.928,9184,96
9,4,10,0.0118,118,10000,1,115,1.0,29.5,0.931,9192,118
10,2,11,0.0139,139,10000,1,138,69.5,69.5,0.934,9201,139
11,1,12,0.0165,165,10000,165,165,165.0,165.0,0.937,9205,165
12,2,13,0.0207,207,10000,4,203,103.5,103.5,0.94,9193,207
13,3,14,0.0247,247,10000,1,245,1.0,82.33333333333333,0.943,9183,247
14,4,15,0.0302,302,10000,1,295,3.0,75.5,0.946,9154,302
15,2,16,0.0358,358,10000,1,357,179.0,179.0,0.9486,9125,358
16,3,17,0.0424,424,10000,1,422,1.0,141.33333333333334,0.9513,9089,424
17,4,18,0.0488,488,10000,1,483,2.0,122.0,0.9543,9051,488
18,5,19,0.057,570,10000,1,565,1.0,114.0,0.9569,8993,570
19,3,20,0.064,640,10000,1,638,1.0,213.33333333333334,0.9593,8950,640
20,6,21,0.0702,702,10000,1,697,1.0,117.0,0.962,8910,702
21,5,22,0.0777,777,10000,1,771,2.0,155.4,0.9642,8850,777
22,9,23,0.0853,853,10000,1,824,2.0,94.77777777777777,0.9657,8789,853
23,12,24,0.0957,957,10000,1,908,1.0,79.75,0.9672,8702,957
24,7,25,0.1061,1061,10000,1,1001,2.0,151.57142857142858,0.9689,8615,1061
25,8,26,0.1153,1153,10000,1,1145,1.0,144.125,0.9706,8541,1153
26,12,27,0.1255,1255,10000,1,1231,1.0,104.58333333333333,0.9724,8453,1255
27,16,28,0.136,1360,10000,1,1328,1.0,85.0,0.9738,8356,1360
28,11,29,0.1464,1464,10000,1,1451,1.0,133.0909090909091,0.9746,8255,1464
29,14,30,0.1551,1551,10000,1,1528,1.0,110.78571428571429,0.9749,8167,1551
30,16,31,0.1631,1631,10000,1,1596,1.0,101.9375,0.9748,8086,1631
31,18,32,0.1722,1722,10000,1,1682,1.0,95.66666666666667,0.9747,7992,1722
32,20,33,0.1837,1837,10000,1,1797,1.0,91.85,0.9744,7867,1837
33,22,34,0.1957,1957,10000,1,1887,1.0,88.95454545454545,0.9734,7736,1957
34,11,35,0.2062,2062,10000,1,2045,1.0,187.45454545454547,0.9723,7622,2062
35,15,36,0.2143,2143,10000,1,2047,1.0,142.86666666666667,0.9714,7518,2143
36,17,37,0.2239,2239,10000,1,2057,3.0,131.7058823529412,0.9691,7392,2239
37,24,38,0.2326,2326,10000,1,2142,1.0,96.91666666666667,0.9661,7266,2326
38,40,39,0.2411,2411,10000,1,2270,1.0,60.275,0.9622,7134,2411
39,33,40,0.2504,2504,10000,1,2369,1.0,75.87878787878788,0.9575,6998,2504
40,31,41,0.2607,2607,10000,1,2468,2.0,84.09677419354838,0.9532,6856,2607
41,45,42,0.2683,2683,10000,1,2490,1.0,59.62222222222222,0.9493,6745,2683
42,51,43,0.2782,2782,10000,1,2616,1.0,54.549019607843135,0.9458,6594,2782
43,60,44,0.2866,2866,10000,1,2749,1.0,47.766666666666666,0.9406,6451,2866
44,62,45,0.2947,2947,10000,1,2822,1.0,47.53225806451613,0.9347,6304,2947
45,69,46,0.3027,3027,10000,1,2631,1.0,43.869565217391305,0.9281,6163,3027
46,89,47,0.3119,3119,10000,1,2679,1.0,35.04494382022472,0.922,6009,3119
47,112,48,0.3213,3213,10000,1,2339,1.0,28.6875,0.9158,5844,3213
48,123,49,0.3288,3288,10000,1,2397,1.0,26.73170731707317,0.9087,5697,3288
49,138,50,0.3404,3404,10000,1,2476,1.0,24.666666666666668,0.9015,5507,3404
50,173,51,0.3486,3486,10000,1,2478,1.0,20.15028901734104,0.8941,5335,3486
51,176,52,0.3568,3568,10000,1,2479,1.0,20.272727272727273,0.8851,5160,3568
52,198,53,0.3644,3644,10000,1,2582,1.0,18.404040404040405,0.8758,5004,3644
53,218,54,0.3728,3728,10000,1,2583,1.0,17.10091743119266,0.8678,4825,3728
54,223,55,0.3815,3815,10000,1,2742,1.0,17.10762331838565,0.8583,4659,3815
55,241,56,0.3927,3927,10000,1,2758,1.0,16.29460580912863,0.8504,4467,3927
56,255,57,0.4029,4029,10000,1,2868,1.0,15.8,0.8424,4273,4029
57,255,58,0.4099,4099,10000,1,2895,1.0,16.07450980392157,0.8332,4095,4099
58,290,59,0.4182,4182,10000,1,2875,1.0,14.420689655172414,0.8224,3921,4182
59,314,60,0.4293,4293,10000,1,2908,1.0,13.671974522292993,0.8133,3743,4293
60,323,61,0.4352,4352,10000,1,3054,1.0,13.473684210526315,0.8066,3568,4352
61,359,62,0.4407,4407,10000,1,3046,1.0,12.275766016713092,0.795,3389,4407
62,377,63,0.4413,4413,10000,1,3030,1.0,11.705570291777189,0.7826,3247,4413
63,402,64,0.4427,4427,10000,1,2950,1.0,11.012437810945274,0.769,3124,4427
64,435,65,0.4475,4475,10000,1,2937,1.0,10.28735632183908,0.7581,2952,4475
65,468,66,0.4462,4462,10000,1,2930,1.0,9.534188034188034,0.7457,2823,4462
66,506,67,0.4475,4475,10000,1,2909,1.0,8.84387351778656,0.7315,2686,4475
67,546,68,0.4481,4481,10000,1,2875,1.0,8.206959706959706,0.7191,2561,4481
68,565,69,0.4484,4484,10000,1,2887,1.0,7.936283185840708,0.7072,2420,4484
69,591,70,0.45,4500,10000,1,2842,1.0,7.614213197969543,0.6934,2260,4500
70,634,71,0.4512,4512,10000,1,2843,1.0,7.116719242902208,0.679,2121,4512
71,651,72,0.4475,4475,10000,1,2702,1.0,6.874039938556067,0.6663,2007,4475
72,662,73,0.4506,4506,10000,1,2596,1.0,6.806646525679758,0.6512,1843,4506
73,709,74,0.4513,4513,10000,1,2472,1.0,6.365303244005641,0.6379,1694,4513
74,748,75,0.4533,4533,10000,1,2556,1.0,6.060160427807487,0.6237,1529,4533
