,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0007,7,10000,7,7,7.0,7.0,0.8975,8968,7
1,4,2,0.0007,7,10000,1,4,1.0,1.75,0.9005,8998,7
2,7,3,0.0012,12,10000,1,3,1.0,1.7142857142857142,0.9035,9023,12
3,4,4,0.0022,22,10000,1,19,1.0,5.5,0.9065,9043,22
4,5,5,0.0035,35,10000,1,31,1.0,7.0,0.9095,9060,35
5,7,6,0.0046,46,10000,1,39,1.0,6.571428571428571,0.9125,9079,46
6,9,7,0.0048,48,10000,1,38,1.0,5.333333333333333,0.9155,9107,48
7,11,8,0.0066,66,10000,1,30,2.0,6.0,0.9185,9119,66
8,16,9,0.0086,86,10000,1,31,1.5,5.375,0.9215,9129,86
9,20,10,0.0114,114,10000,1,63,1.0,5.7,0.9245,9131,114
10,17,11,0.0152,152,10000,1,52,2.0,8.941176470588236,0.9275,9123,152
11,14,12,0.0213,213,10000,1,158,1.0,15.214285714285714,0.9305,9092,213
12,20,13,0.0255,255,10000,1,233,1.0,12.75,0.9335,9080,255
13,20,14,0.0311,311,10000,1,240,1.0,15.55,0.9365,9054,311
14,15,15,0.0369,369,10000,1,337,1.0,24.6,0.9395,9026,369
15,18,16,0.0417,417,10000,1,387,1.0,23.166666666666668,0.9425,9007,417
16,12,17,0.0477,477,10000,1,428,1.0,39.75,0.9454,8976,477
17,11,18,0.0536,536,10000,1,524,1.0,48.72727272727273,0.9483,8947,536
18,22,19,0.0578,578,10000,1,542,1.0,26.272727272727273,0.9513,8931,578
19,13,20,0.0624,624,10000,1,609,1.0,48.0,0.9539,8907,624
20,15,21,0.0672,672,10000,1,656,1.0,44.8,0.9561,8884,672
21,22,22,0.0714,714,10000,1,681,1.0,32.45454545454545,0.9586,8865,714
22,17,23,0.0757,757,10000,1,725,1.0,44.529411764705884,0.9609,8843,757
23,19,24,0.0792,792,10000,1,767,1.0,41.68421052631579,0.963,8822,792
24,23,25,0.0846,846,10000,1,795,1.0,36.78260869565217,0.9644,8777,846
25,25,26,0.0893,893,10000,1,828,1.0,35.72,0.9653,8735,893
26,29,27,0.0937,937,10000,1,885,1.0,32.310344827586206,0.9658,8694,937
27,34,28,0.0971,971,10000,1,819,1.0,28.558823529411764,0.9661,8657,971
28,38,29,0.1008,1008,10000,1,817,1.0,26.526315789473685,0.9658,8619,1008
29,39,30,0.1046,1046,10000,1,861,1.0,26.82051282051282,0.9657,8580,1046
30,41,31,0.111,1110,10000,1,942,1.0,27.073170731707318,0.9656,8520,1110
31,45,32,0.1164,1164,10000,1,970,1.0,25.866666666666667,0.966,8471,1164
32,54,33,0.1245,1245,10000,1,1056,1.0,23.055555555555557,0.9665,8394,1245
33,63,34,0.1334,1334,10000,1,1074,1.0,21.174603174603174,0.9669,8302,1334
34,58,35,0.1432,1432,10000,1,1184,1.0,24.689655172413794,0.9666,8199,1432
35,68,36,0.1542,1542,10000,1,1270,1.0,22.676470588235293,0.9661,8086,1542
36,77,37,0.1624,1624,10000,1,1329,1.0,21.09090909090909,0.9658,7997,1624
37,81,38,0.1691,1691,10000,1,1419,1.0,20.876543209876544,0.9651,7909,1691
38,85,39,0.1792,1792,10000,1,1462,1.0,21.08235294117647,0.963,7784,1792
39,78,40,0.1875,1875,10000,1,1610,1.0,24.03846153846154,0.9606,7681,1875
40,87,41,0.1988,1988,10000,1,1631,1.0,22.850574712643677,0.9586,7550,1988
41,100,42,0.2026,2026,10000,1,1637,1.0,20.26,0.9568,7498,2026
42,89,43,0.2145,2145,10000,1,1867,1.0,24.10112359550562,0.9554,7363,2145
43,100,44,0.2185,2185,10000,1,1629,1.0,21.85,0.9538,7287,2185
44,117,45,0.2264,2264,10000,1,1715,1.0,19.35042735042735,0.9502,7186,2264
45,120,46,0.2319,2319,10000,1,1843,1.0,19.325,0.948,7078,2319
46,127,47,0.2389,2389,10000,1,1866,1.0,18.811023622047244,0.9427,6963,2389
47,135,48,0.2448,2448,10000,1,1993,1.0,18.133333333333333,0.9382,6851,2448
48,163,49,0.2501,2501,10000,1,2002,1.0,15.343558282208589,0.9329,6745,2501
49,184,50,0.2565,2565,10000,1,1912,1.0,13.940217391304348,0.9276,6639,2565
50,178,51,0.2693,2693,10000,1,2029,1.0,15.129213483146067,0.9234,6458,2693
51,208,52,0.2745,2745,10000,1,2156,1.0,13.197115384615385,0.9181,6348,2745
52,215,53,0.2796,2796,10000,1,2039,1.0,13.004651162790697,0.9123,6229,2796
53,236,54,0.2874,2874,10000,1,2068,1.0,12.177966101694915,0.9055,6087,2874
54,247,55,0.2928,2928,10000,1,2115,1.0,11.854251012145749,0.8991,5961,2928
55,259,56,0.3034,3034,10000,1,2155,1.0,11.714285714285714,0.8919,5809,3034
56,270,57,0.3105,3105,10000,1,2226,1.0,11.5,0.8873,5660,3105
57,303,58,0.3136,3136,10000,1,2164,1.0,10.349834983498349,0.8795,5547,3136
58,324,59,0.3235,3235,10000,1,2302,1.0,9.984567901234568,0.8713,5373,3235
