,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,3,1,0.0007,7,10000,1,5,1.0,2.3333333333333335,0.8957,8950,7
1,1,2,0.0013,13,10000,13,13,13.0,13.0,0.8987,8974,13
2,2,3,0.0022,22,10000,1,21,11.0,11.0,0.9017,8995,22
3,3,4,0.0037,37,10000,1,20,16.0,12.333333333333334,0.9047,9010,37
4,2,5,0.0062,62,10000,1,61,31.0,31.0,0.9077,9015,62
5,1,6,0.0092,92,10000,92,92,92.0,92.0,0.9107,9015,92
6,1,7,0.0135,135,10000,135,135,135.0,135.0,0.9137,9002,135
7,1,8,0.0181,181,10000,181,181,181.0,181.0,0.9167,8986,181
8,1,9,0.0246,246,10000,246,246,246.0,246.0,0.9197,8951,246
9,1,10,0.0316,316,10000,316,316,316.0,316.0,0.9227,8911,316
10,1,11,0.037,370,10000,370,370,370.0,370.0,0.9257,8887,370
11,1,12,0.0425,425,10000,425,425,425.0,425.0,0.9287,8862,425
12,2,13,0.048,480,10000,1,479,240.0,240.0,0.9317,8836,480
13,2,14,0.0543,543,10000,1,542,271.5,271.5,0.9346,8801,543
14,2,15,0.0617,617,10000,1,616,308.5,308.5,0.9374,8757,617
15,4,16,0.0711,711,10000,1,708,1.0,177.75,0.9404,8689,711
16,3,17,0.0806,806,10000,1,804,1.0,268.6666666666667,0.943,8615,806
17,7,18,0.0903,903,10000,1,897,1.0,129.0,0.9451,8539,903
18,5,19,0.0998,998,10000,1,993,1.0,199.6,0.9472,8467,998
19,9,20,0.1106,1106,10000,1,1097,1.0,122.88888888888889,0.9495,8365,1106
20,7,21,0.1212,1212,10000,1,1202,2.0,173.14285714285714,0.9501,8269,1212
21,6,22,0.1316,1316,10000,1,1305,2.0,219.33333333333334,0.9511,8177,1316
22,8,23,0.1409,1409,10000,1,1400,1.0,176.125,0.9523,8093,1409
23,9,24,0.1532,1532,10000,1,1517,1.0,170.22222222222223,0.9532,7979,1532
24,15,25,0.1661,1661,10000,1,1645,1.0,110.73333333333333,0.9541,7851,1661
25,14,26,0.1766,1766,10000,1,1746,1.0,126.14285714285714,0.9542,7737,1766
26,16,27,0.1888,1888,10000,1,1858,1.0,118.0,0.9533,7609,1888
27,24,28,0.2017,2017,10000,1,1982,1.0,84.04166666666667,0.9527,7470,2017
28,24,29,0.2139,2139,10000,1,2102,1.0,89.125,0.9517,7331,2139
29,24,30,0.2241,2241,10000,1,2165,1.0,93.375,0.95,7218,2241
30,31,31,0.232,2320,10000,1,2253,1.0,74.83870967741936,0.9489,7119,2320
31,29,32,0.2463,2463,10000,1,2394,1.0,84.93103448275862,0.9469,6951,2463
32,35,33,0.2599,2599,10000,1,2496,1.0,74.25714285714285,0.9444,6781,2599
33,47,34,0.2715,2715,10000,1,2553,1.0,57.765957446808514,0.941,6617,2715
34,53,35,0.2862,2862,10000,1,2641,1.0,54.0,0.9362,6445,2862
35,51,36,0.3008,3008,10000,1,2861,1.0,58.98039215686274,0.9337,6244,3008
36,63,37,0.3151,3151,10000,1,2901,1.0,50.01587301587302,0.9282,6058,3151
37,74,38,0.3303,3303,10000,1,2843,1.0,44.63513513513514,0.9239,5859,3303
38,79,39,0.3422,3422,10000,1,2946,1.0,43.31645569620253,0.9192,5670,3422
