,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,6.103515625e-05,1,16384,1,1,1.0,1.0,0.9010009765625,14761,1
1,1,2,0.00018310546875,3,16384,3,3,3.0,3.0,0.90283203125,14789,3
2,2,3,0.00042724609375,7,16384,1,6,3.5,3.5,0.9046630859375,14815,7
3,2,4,0.0008544921875,14,16384,1,13,7.0,7.0,0.906494140625,14838,14
4,1,5,0.001953125,32,16384,32,32,32.0,32.0,0.9083251953125,14850,32
5,1,6,0.00335693359375,55,16384,55,55,55.0,55.0,0.91015625,14857,55
6,1,7,0.00537109375,88,16384,88,88,88.0,88.0,0.9119873046875,14854,88
7,1,8,0.00848388671875,139,16384,139,139,139.0,139.0,0.913818359375,14833,139
8,1,9,0.01141357421875,187,16384,187,187,187.0,187.0,0.9156494140625,14815,187
9,1,10,0.0152587890625,250,16384,250,250,250.0,250.0,0.91748046875,14782,250
10,1,11,0.018310546875,300,16384,300,300,300.0,300.0,0.9193115234375,14762,300
11,2,12,0.0220947265625,362,16384,1,361,181.0,181.0,0.921142578125,14730,362
12,2,13,0.02667236328125,437,16384,4,433,218.5,218.5,0.9229736328125,14684,437
13,2,14,0.031494140625,516,16384,1,515,258.0,258.0,0.92474365234375,14634,516
14,1,15,0.03668212890625,601,16384,601,601,601.0,601.0,0.926513671875,14577,601
15,1,16,0.0423583984375,694,16384,694,694,694.0,694.0,0.92822265625,14514,694
16,1,17,0.04705810546875,771,16384,771,771,771.0,771.0,0.9300537109375,14460,771
17,1,18,0.05206298828125,853,16384,853,853,853.0,853.0,0.93145751953125,14404,853
18,1,19,0.05718994140625,937,16384,937,937,937.0,937.0,0.93304443359375,14340,937
19,2,20,0.06488037109375,1063,16384,9,1054,531.5,531.5,0.93426513671875,14227,1063
20,2,21,0.072021484375,1180,16384,9,1171,590.0,590.0,0.93505859375,14127,1180
21,5,22,0.07830810546875,1283,16384,2,1256,8.0,256.6,0.93609619140625,14031,1283
22,9,23,0.08514404296875,1395,16384,1,1361,5.0,155.0,0.9365234375,13928,1395
23,11,24,0.09124755859375,1495,16384,1,1471,1.0,135.9090909090909,0.93707275390625,13834,1495
24,11,25,0.09698486328125,1589,16384,1,1563,1.0,144.45454545454547,0.93743896484375,13740,1589
25,15,26,0.10198974609375,1671,16384,1,1642,1.0,111.4,0.93743896484375,13649,1671
26,13,27,0.11041259765625,1809,16384,1,1781,1.0,139.15384615384616,0.9368896484375,13515,1809
27,13,28,0.11676025390625,1913,16384,1,1878,1.0,147.15384615384616,0.9371337890625,13405,1913
28,16,29,0.12384033203125,2029,16384,1,1992,1.0,126.8125,0.936767578125,13281,2029
29,26,30,0.131103515625,2148,16384,1,2098,1.0,82.61538461538461,0.936279296875,13135,2148
30,34,31,0.13665771484375,2239,16384,1,2172,1.0,65.8529411764706,0.93463134765625,13028,2239
31,43,32,0.14190673828125,2325,16384,1,2168,1.0,54.06976744186046,0.93365478515625,12911,2325
32,43,33,0.148681640625,2436,16384,1,2274,1.0,56.651162790697676,0.9317626953125,12776,2436
33,53,34,0.155517578125,2548,16384,1,2327,2.0,48.075471698113205,0.9302978515625,12626,2548
34,63,35,0.16363525390625,2681,16384,1,2444,2.0,42.55555555555556,0.927978515625,12454,2681
35,67,36,0.17095947265625,2801,16384,1,2512,2.0,41.80597014925373,0.92559814453125,12281,2801
36,81,37,0.17889404296875,2931,16384,1,2512,2.0,36.18518518518518,0.92236328125,12117,2931
37,70,38,0.18646240234375,3055,16384,1,2702,1.5,43.642857142857146,0.9202880859375,11952,3055
38,71,39,0.1929931640625,3162,16384,1,2800,2.0,44.53521126760563,0.91778564453125,11791,3162
