,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.00018310546875,3,16384,3,3,3.0,3.0,0.90081787109375,14756,3
1,2,2,0.0003662109375,6,16384,2,4,3.0,3.0,0.90264892578125,14783,6
2,2,3,0.0008544921875,14,16384,4,10,7.0,7.0,0.90447998046875,14805,14
3,2,4,0.001220703125,20,16384,1,19,10.0,10.0,0.90631103515625,14829,20
4,2,5,0.00213623046875,35,16384,8,27,17.5,17.5,0.90814208984375,14844,35
5,1,6,0.00372314453125,61,16384,61,61,61.0,61.0,0.90997314453125,14848,61
6,1,7,0.00579833984375,95,16384,95,95,95.0,95.0,0.91180419921875,14844,95
7,1,8,0.0081787109375,134,16384,134,134,134.0,134.0,0.91363525390625,14835,134
8,1,9,0.01104736328125,181,16384,181,181,181.0,181.0,0.91546630859375,14818,181
9,1,10,0.01385498046875,227,16384,227,227,227.0,227.0,0.91729736328125,14802,227
10,1,11,0.017578125,288,16384,288,288,288.0,288.0,0.91912841796875,14771,288
11,1,12,0.02178955078125,357,16384,357,357,357.0,357.0,0.92095947265625,14732,357
12,1,13,0.02593994140625,425,16384,425,425,425.0,425.0,0.92279052734375,14694,425
13,1,14,0.03106689453125,509,16384,509,509,509.0,509.0,0.92462158203125,14640,509
14,1,15,0.03570556640625,585,16384,585,585,585.0,585.0,0.92645263671875,14594,585
15,3,16,0.04144287109375,679,16384,1,677,1.0,226.33333333333334,0.92828369140625,14529,679
16,2,17,0.04913330078125,805,16384,1,804,402.5,402.5,0.9300537109375,14427,805
17,2,18,0.0550537109375,902,16384,1,901,451.0,451.0,0.9315185546875,14355,902
18,3,19,0.06170654296875,1011,16384,1,1009,1.0,337.0,0.93304443359375,14266,1011
19,2,20,0.0701904296875,1150,16384,1,1149,575.0,575.0,0.93426513671875,14144,1150
20,1,21,0.07928466796875,1299,16384,1299,1299,1299.0,1299.0,0.935302734375,14013,1299
21,5,22,0.08782958984375,1439,16384,1,1433,1.0,287.8,0.9364013671875,13891,1439
22,6,23,0.09686279296875,1587,16384,1,1582,1.0,264.5,0.9375,13753,1587
23,4,24,0.10552978515625,1729,16384,1,1726,1.0,432.25,0.9381103515625,13615,1729
24,13,25,0.11480712890625,1881,16384,1,1837,1.0,144.69230769230768,0.9383544921875,13459,1881
25,16,26,0.12371826171875,2027,16384,1,1996,1.0,126.6875,0.9381103515625,13310,2027
26,12,27,0.13525390625,2216,16384,1,2193,1.0,184.66666666666666,0.93792724609375,13114,2216
27,22,28,0.146728515625,2404,16384,1,2352,1.0,109.27272727272727,0.9375,12908,2404
28,25,29,0.15631103515625,2561,16384,1,2486,1.0,102.44,0.9364013671875,12735,2561
29,27,30,0.165283203125,2708,16384,1,2665,1.0,100.29629629629629,0.9354248046875,12566,2708
30,33,31,0.17706298828125,2901,16384,1,2832,1.0,87.9090909090909,0.93408203125,12325,2901
31,45,32,0.18798828125,3080,16384,1,2992,1.0,68.44444444444444,0.93115234375,12108,3080
32,50,33,0.2001953125,3280,16384,1,3099,1.0,65.6,0.9288330078125,11867,3280
33,60,34,0.214599609375,3516,16384,1,3316,1.0,58.6,0.92633056640625,11587,3516
34,77,35,0.2265625,3712,16384,1,3459,1.0,48.20779220779221,0.92364501953125,11336,3712
35,91,36,0.2398681640625,3930,16384,1,3581,2.0,43.18681318681319,0.9202880859375,11058,3930
36,94,37,0.2530517578125,4146,16384,1,3765,2.0,44.1063829787234,0.9166259765625,10794,4146
37,114,38,0.265380859375,4348,16384,1,3892,1.5,38.14035087719298,0.9136962890625,10516,4348
38,124,39,0.2774658203125,4546,16384,1,4091,1.0,36.66129032258065,0.9090576171875,10221,4546
39,141,40,0.28753662109375,4711,16384,1,4241,1.0,33.4113475177305,0.90313720703125,9963,4711
40,160,41,0.2974853515625,4874,16384,1,4366,1.0,30.4625,0.8974609375,9701,4874
41,175,42,0.31011962890625,5081,16384,1,4507,1.0,29.034285714285716,0.89141845703125,9398,5081
42,190,43,0.31878662109375,5223,16384,1,4537,1.0,27.489473684210527,0.88555908203125,9154,5223
43,204,44,0.32598876953125,5341,16384,1,4603,1.0,26.181372549019606,0.87933349609375,8915,5341
44,225,45,0.33404541015625,5473,16384,1,4634,1.0,24.324444444444445,0.8719482421875,8660,5473
45,249,46,0.33837890625,5544,16384,1,4584,1.0,22.265060240963855,0.86444091796875,8433,5544
46,268,47,0.34478759765625,5649,16384,1,4674,2.0,21.078358208955223,0.85491943359375,8196,5649
47,316,48,0.348876953125,5716,16384,1,4547,1.0,18.088607594936708,0.84686279296875,7951,5716
48,334,49,0.35400390625,5800,16384,1,4551,1.5,17.365269461077844,0.83599853515625,7715,5800
49,368,50,0.35833740234375,5871,16384,1,4578,1.0,15.953804347826088,0.82672119140625,7471,5871
50,406,51,0.36322021484375,5951,16384,1,4627,1.0,14.657635467980295,0.816162109375,7216,5951
51,443,52,0.368896484375,6044,16384,1,4515,1.0,13.64334085778781,0.80548095703125,6948,6044
52,474,53,0.37152099609375,6087,16384,1,4511,1.0,12.841772151898734,0.7947998046875,6727,6087
53,526,54,0.37567138671875,6155,16384,1,3711,1.0,11.701520912547528,0.783935546875,6481,6155
54,548,55,0.3787841796875,6206,16384,1,3798,1.0,11.324817518248175,0.7730712890625,6259,6206
55,588,56,0.3829345703125,6274,16384,1,3816,1.0,10.670068027210885,0.76263427734375,6001,6274
56,619,57,0.38543701171875,6315,16384,1,3925,1.0,10.201938610662358,0.75103759765625,5783,6315
57,670,58,0.39068603515625,6401,16384,1,3880,1.0,9.553731343283582,0.740234375,5533,6401
58,695,59,0.391357421875,6412,16384,1,3915,1.0,9.22589928057554,0.730224609375,5346,6412
59,732,60,0.3936767578125,6450,16384,1,3973,1.0,8.811475409836065,0.719482421875,5115,6450
60,783,61,0.39697265625,6504,16384,1,3914,1.0,8.306513409961687,0.70770263671875,4864,6504
61,824,62,0.40093994140625,6569,16384,1,3993,1.0,7.972087378640777,0.6956787109375,4612,6569
62,832,63,0.4061279296875,6654,16384,1,4077,1.0,7.997596153846154,0.68426513671875,4344,6654
63,877,64,0.4105224609375,6726,16384,1,4040,1.0,7.669327251995439,0.673095703125,4087,6726
64,913,65,0.415771484375,6812,16384,1,4053,1.0,7.461117196056955,0.66180419921875,3803,6812
65,952,66,0.418701171875,6860,16384,1,4123,1.0,7.205882352941177,0.64971923828125,3542,6860
66,964,67,0.422119140625,6916,16384,1,4147,1.0,7.174273858921162,0.63671875,3281,6916
67,992,68,0.42486572265625,6961,16384,1,4250,1.0,7.017137096774194,0.62420654296875,3046,6961
68,999,69,0.42724609375,7000,16384,1,4340,1.0,7.007007007007007,0.61260986328125,2813,7000
69,1017,70,0.427978515625,7012,16384,1,4363,1.0,6.894788593903638,0.60076904296875,2617,7012
70,1045,71,0.42779541015625,7009,16384,1,4308,1.0,6.707177033492823,0.58953857421875,2402,7009
71,1107,72,0.4283447265625,7018,16384,1,4278,1.0,6.339656729900632,0.57623291015625,2200,7018
72,1138,73,0.427734375,7008,16384,1,4187,1.0,6.15817223198594,0.564453125,2014,7008
73,1155,74,0.4268798828125,6994,16384,1,4144,1.0,6.055411255411255,0.552490234375,1832,6994
74,1191,75,0.423095703125,6932,16384,1,4160,1.0,5.82031905961377,0.54052734375,1687,6932
75,1220,76,0.41961669921875,6875,16384,1,3976,1.0,5.635245901639344,0.52789306640625,1543,6875
76,1262,77,0.41302490234375,6767,16384,1,3782,1.0,5.362123613312203,0.515625,1431,6767
77,1314,78,0.40728759765625,6673,16384,1,3686,1.0,5.078386605783866,0.502197265625,1309,6673
78,1337,79,0.3990478515625,6538,16384,1,3096,1.0,4.890052356020942,0.489013671875,1206,6538
79,1377,80,0.3919677734375,6422,16384,1,2925,1.0,4.663761801016703,0.4744873046875,1127,6422
80,1397,81,0.3846435546875,6302,16384,1,2859,1.0,4.51109520400859,0.46258544921875,1043,6302
81,1410,82,0.37548828125,6152,16384,1,2536,1.0,4.363120567375886,0.45013427734375,1001,6152
82,1435,83,0.36676025390625,6009,16384,1,2454,1.0,4.187456445993031,0.43841552734375,937,6009
83,1455,84,0.35699462890625,5849,16384,1,2386,1.0,4.019931271477663,0.42578125,887,5849
84,1493,85,0.347900390625,5700,16384,1,2250,1.0,3.8178164768921636,0.4129638671875,833,5700
85,1536,86,0.338623046875,5548,16384,1,1778,1.0,3.6119791666666665,0.40057373046875,795,5548
86,1553,87,0.32855224609375,5383,16384,1,1654,1.0,3.4661944623309724,0.38897705078125,749,5383
87,1566,88,0.318603515625,5220,16384,1,1520,1.0,3.3333333333333335,0.3760986328125,717,5220
88,1588,89,0.31060791015625,5089,16384,1,1373,1.0,3.204659949622166,0.36419677734375,690,5089
89,1595,90,0.3006591796875,4926,16384,1,1229,1.0,3.0884012539184953,0.35455322265625,677,4926
90,1615,91,0.29095458984375,4767,16384,1,1164,1.0,2.9517027863777088,0.34381103515625,673,4767
91,1644,92,0.28167724609375,4615,16384,1,1066,1.0,2.807177615571776,0.3338623046875,656,4615
92,1649,93,0.27532958984375,4511,16384,1,1005,1.0,2.7355973317161917,0.32354736328125,625,4511
93,1654,94,0.26806640625,4392,16384,1,927,1.0,2.6553808948004836,0.3153076171875,623,4392
94,1650,95,0.2615966796875,4286,16384,1,849,1.0,2.5975757575757576,0.30792236328125,614,4286
95,1642,96,0.25518798828125,4181,16384,1,783,1.0,2.5462850182704018,0.3009033203125,603,4181
96,1640,97,0.2484130859375,4070,16384,1,730,1.0,2.481707317073171,0.2938232421875,610,4070
97,1667,98,0.2408447265625,3946,16384,1,661,1.0,2.367126574685063,0.2874755859375,618,3946
98,1681,99,0.23321533203125,3821,16384,1,603,1.0,2.273051754907793,0.2803955078125,622,3821
99,1681,100,0.2266845703125,3714,16384,1,511,1.0,2.2093991671624034,0.27301025390625,630,3714
100,1680,101,0.22027587890625,3609,16384,1,485,1.0,2.148214285714286,0.2669677734375,638,3609
101,1658,102,0.21453857421875,3515,16384,1,468,1.0,2.1200241254523524,0.26104736328125,644,3515
102,1660,103,0.209228515625,3428,16384,1,437,1.0,2.0650602409638554,0.25567626953125,648,3428
103,1649,104,0.2042236328125,3346,16384,1,325,1.0,2.0291085506367494,0.2506103515625,662,3346
104,1642,105,0.19903564453125,3261,16384,1,274,1.0,1.9859926918392206,0.2464599609375,669,3261
105,1624,106,0.193359375,3168,16384,1,228,1.0,1.9507389162561577,0.24169921875,686,3168
106,1629,107,0.1881103515625,3082,16384,1,206,1.0,1.8919582565991406,0.237060546875,698,3082
107,1630,108,0.18267822265625,2993,16384,1,193,1.0,1.836196319018405,0.2325439453125,714,2993
108,1625,109,0.1795654296875,2942,16384,1,189,1.0,1.8104615384615386,0.22808837890625,725,2942
