,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.00042724609375,7,16384,7,7,7.0,7.0,0.902099609375,14773,7
1,1,2,0.00115966796875,19,16384,19,19,19.0,19.0,0.9039306640625,14791,19
2,1,3,0.00262451171875,43,16384,43,43,43.0,43.0,0.90576171875,14797,43
3,1,4,0.00372314453125,61,16384,61,61,61.0,61.0,0.9075927734375,14809,61
4,2,5,0.00518798828125,85,16384,1,84,42.5,42.5,0.909423828125,14815,85
5,1,6,0.00653076171875,107,16384,107,107,107.0,107.0,0.9112548828125,14823,107
6,1,7,0.0084228515625,138,16384,138,138,138.0,138.0,0.9130859375,14822,138
7,1,8,0.01141357421875,187,16384,187,187,187.0,187.0,0.9149169921875,14803,187
8,2,9,0.0135498046875,222,16384,1,221,111.0,111.0,0.916748046875,14798,222
9,2,10,0.01678466796875,275,16384,1,274,137.5,137.5,0.9185791015625,14775,275
10,1,11,0.0201416015625,330,16384,330,330,330.0,330.0,0.92041015625,14750,330
11,1,12,0.02471923828125,405,16384,405,405,405.0,405.0,0.9222412109375,14705,405
12,1,13,0.0291748046875,478,16384,478,478,478.0,478.0,0.924072265625,14662,478
13,1,14,0.03326416015625,545,16384,545,545,545.0,545.0,0.9259033203125,14624,545
14,1,15,0.0384521484375,630,16384,630,630,630.0,630.0,0.92767333984375,14562,630
15,1,16,0.04254150390625,697,16384,697,697,697.0,697.0,0.9290771484375,14520,697
16,2,17,0.0487060546875,798,16384,1,797,399.0,399.0,0.93060302734375,14442,798
17,2,18,0.0533447265625,874,16384,1,873,437.0,437.0,0.9320068359375,14391,874
18,1,19,0.0584716796875,958,16384,958,958,958.0,958.0,0.93353271484375,14328,958
19,3,20,0.0633544921875,1038,16384,1,1036,1.0,346.0,0.934814453125,14261,1038
20,2,21,0.06854248046875,1123,16384,1,1122,561.5,561.5,0.93560791015625,14182,1123
21,3,22,0.073974609375,1212,16384,1,1206,5.0,404.0,0.93597412109375,14105,1212
22,3,23,0.078369140625,1284,16384,1,1278,5.0,428.0,0.93670654296875,14040,1284
23,4,24,0.08270263671875,1355,16384,1,1348,3.0,338.75,0.9371337890625,13973,1355
24,9,25,0.087646484375,1436,16384,1,1425,1.0,159.55555555555554,0.9373779296875,13895,1436
25,18,26,0.09259033203125,1517,16384,1,1486,1.0,84.27777777777777,0.93756103515625,13805,1517
26,26,27,0.0985107421875,1614,16384,1,1569,1.0,62.07692307692308,0.93701171875,13691,1614
27,25,28,0.105712890625,1732,16384,1,1681,1.0,69.28,0.93597412109375,13572,1732
28,31,29,0.1112060546875,1822,16384,1,1731,1.0,58.774193548387096,0.9359130859375,13461,1822
29,34,30,0.1173095703125,1922,16384,1,1839,1.5,56.529411764705884,0.93463134765625,13359,1922
30,39,31,0.1241455078125,2034,16384,1,1956,1.0,52.15384615384615,0.93450927734375,13222,2034
31,47,32,0.128662109375,2108,16384,1,1898,1.0,44.851063829787236,0.9329833984375,13122,2108
32,50,33,0.13427734375,2200,16384,1,1994,1.0,44.0,0.931396484375,12995,2200
33,49,34,0.14117431640625,2313,16384,1,2051,1.0,47.204081632653065,0.92926025390625,12868,2313
34,46,35,0.1468505859375,2406,16384,1,2072,1.0,52.30434782608695,0.92840576171875,12748,2406
35,63,36,0.1534423828125,2514,16384,1,2179,1.0,39.904761904761905,0.9267578125,12615,2514
36,68,37,0.1590576171875,2606,16384,1,2264,2.0,38.3235294117647,0.92523193359375,12496,2606
37,82,38,0.1639404296875,2686,16384,1,2273,2.0,32.75609756097561,0.923583984375,12368,2686
38,85,39,0.16827392578125,2757,16384,1,2307,2.0,32.43529411764706,0.920654296875,12254,2757
39,92,40,0.17205810546875,2819,16384,1,2325,2.0,30.641304347826086,0.91802978515625,12133,2819
40,112,41,0.17578125,2880,16384,1,2366,2.0,25.714285714285715,0.9144287109375,12020,2880
41,119,42,0.18072509765625,2961,16384,1,2404,2.0,24.88235294117647,0.9112548828125,11887,2961
42,128,43,0.1822509765625,2986,16384,1,2383,2.0,23.328125,0.9080810546875,11794,2986
43,142,44,0.18536376953125,3037,16384,1,2420,1.5,21.387323943661972,0.9039306640625,11688,3037
44,162,45,0.18804931640625,3081,16384,1,2424,1.0,19.01851851851852,0.90057373046875,11557,3081
45,175,46,0.1915283203125,3138,16384,1,2386,1.0,17.931428571428572,0.895263671875,11425,3138
46,184,47,0.19683837890625,3225,16384,1,2500,1.0,17.527173913043477,0.89068603515625,11270,3225
47,214,48,0.20062255859375,3287,16384,1,2309,2.0,15.35981308411215,0.88653564453125,11121,3287
48,218,49,0.20709228515625,3393,16384,1,2426,2.0,15.564220183486238,0.8812255859375,10952,3393
49,247,50,0.21014404296875,3443,16384,1,2429,2.0,13.93927125506073,0.87738037109375,10812,3443
50,278,51,0.214599609375,3516,16384,1,2431,2.0,12.647482014388489,0.87188720703125,10662,3516
51,285,52,0.22119140625,3624,16384,1,2500,2.0,12.715789473684211,0.8671875,10497,3624
52,290,53,0.2259521484375,3702,16384,1,2505,2.0,12.76551724137931,0.86370849609375,10328,3702
53,290,54,0.23193359375,3800,16384,1,2572,2.0,13.10344827586207,0.858154296875,10152,3800
54,308,55,0.23638916015625,3873,16384,1,2699,2.0,12.574675324675324,0.8533935546875,9990,3873
55,316,56,0.2420654296875,3966,16384,1,2769,2.0,12.550632911392405,0.84796142578125,9814,3966
56,333,57,0.24847412109375,4071,16384,1,2888,2.0,12.225225225225225,0.8428955078125,9629,4071
57,355,58,0.255126953125,4180,16384,1,2929,2.0,11.774647887323944,0.8380126953125,9426,4180
58,383,59,0.2607421875,4272,16384,1,2864,2.0,11.154046997389035,0.832275390625,9239,4272
59,398,60,0.2657470703125,4354,16384,1,2891,2.0,10.93969849246231,0.82647705078125,9054,4354
60,419,61,0.27020263671875,4427,16384,1,2932,2.0,10.56563245823389,0.8201904296875,8870,4427
61,423,62,0.27587890625,4520,16384,1,3032,2.0,10.685579196217494,0.81341552734375,8663,4520
62,447,63,0.28509521484375,4671,16384,1,3121,2.0,10.449664429530202,0.80645751953125,8416,4671
63,464,64,0.29058837890625,4761,16384,1,3234,2.0,10.260775862068966,0.80059814453125,8213,4761
64,483,65,0.29644775390625,4857,16384,1,3240,2.0,10.055900621118013,0.793701171875,7986,4857
65,490,66,0.30047607421875,4923,16384,1,3315,2.0,10.046938775510204,0.78570556640625,7812,4923
66,517,67,0.30523681640625,5001,16384,1,3390,2.0,9.67311411992263,0.77911376953125,7616,5001
67,533,68,0.30938720703125,5069,16384,1,3320,2.0,9.51031894934334,0.77191162109375,7420,5069
68,564,69,0.31597900390625,5177,16384,1,3427,2.0,9.179078014184396,0.76409912109375,7192,5177
69,582,70,0.32061767578125,5253,16384,1,3518,2.0,9.025773195876289,0.75677490234375,6981,5253
70,615,71,0.3253173828125,5330,16384,1,3576,2.0,8.666666666666666,0.74853515625,6766,5330
71,643,72,0.330322265625,5412,16384,1,3663,2.0,8.416796267496112,0.7401123046875,6561,5412
72,658,73,0.3336181640625,5466,16384,1,3661,2.0,8.306990881458967,0.73260498046875,6356,5466
73,681,74,0.34112548828125,5589,16384,1,3714,2.0,8.20704845814978,0.723388671875,6094,5589
74,697,75,0.34649658203125,5677,16384,1,3805,2.0,8.144906743185079,0.71490478515625,5869,5677
75,720,76,0.3509521484375,5750,16384,1,3808,2.0,7.986111111111111,0.70654296875,5637,5750
76,761,77,0.35601806640625,5833,16384,1,3766,2.0,7.664914586070959,0.69683837890625,5387,5833
77,784,78,0.35980224609375,5895,16384,1,3818,1.0,7.519132653061225,0.6866455078125,5173,5895
78,789,79,0.3643798828125,5970,16384,1,3835,2.0,7.566539923954372,0.6773681640625,4965,5970
79,807,80,0.36932373046875,6051,16384,1,3860,1.0,7.4981412639405205,0.66925048828125,4746,6051
80,817,81,0.3709716796875,6078,16384,1,3852,1.0,7.439412484700123,0.66082763671875,4551,6078
81,847,82,0.37091064453125,6077,16384,1,3784,1.0,7.1747343565525386,0.65057373046875,4372,6077
82,875,83,0.37158203125,6088,16384,1,3789,1.0,6.957714285714285,0.63958740234375,4194,6088
83,904,84,0.37152099609375,6087,16384,1,3838,1.0,6.7334070796460175,0.62939453125,4018,6087
84,921,85,0.37164306640625,6089,16384,1,3744,1.0,6.61129207383279,0.61859130859375,3839,6089
85,936,86,0.37158203125,6088,16384,1,3721,1.0,6.504273504273504,0.6077880859375,3672,6088
86,963,87,0.368408203125,6036,16384,1,3606,1.0,6.26791277258567,0.5975341796875,3523,6036
87,991,88,0.3697509765625,6058,16384,1,3545,1.0,6.113017154389506,0.58526611328125,3328,6058
88,1030,89,0.37103271484375,6079,16384,1,3520,1.0,5.901941747572816,0.57470703125,3124,6079
89,1046,90,0.37030029296875,6067,16384,1,3523,1.0,5.80019120458891,0.56353759765625,2962,6067
90,1086,91,0.369140625,6048,16384,1,3410,1.0,5.569060773480663,0.55291748046875,2771,6048
91,1103,92,0.37042236328125,6069,16384,1,3413,1.0,5.502266545784225,0.54010009765625,2586,6069
92,1141,93,0.37042236328125,6069,16384,1,3429,1.0,5.319018404907975,0.53009033203125,2407,6069
93,1158,94,0.37298583984375,6111,16384,1,3421,1.0,5.27720207253886,0.5191650390625,2213,6111
94,1166,95,0.37109375,6080,16384,1,3304,1.0,5.214408233276158,0.5098876953125,2061,6080
95,1189,96,0.36907958984375,6047,16384,1,3095,1.0,5.085786375105131,0.49871826171875,1918,6047
96,1203,97,0.3687744140625,6042,16384,1,3131,1.0,5.022443890274314,0.48797607421875,1755,6042
97,1228,98,0.3677978515625,6026,16384,1,3099,1.0,4.907166123778501,0.47772216796875,1610,6026
98,1248,99,0.36639404296875,6003,16384,1,3105,1.0,4.810096153846154,0.4678955078125,1488,6003
99,1269,100,0.3602294921875,5902,16384,1,2980,1.0,4.65090622537431,0.45904541015625,1431,5902
100,1284,101,0.354248046875,5804,16384,1,2897,1.0,4.520249221183801,0.44940185546875,1369,5804
101,1307,102,0.3470458984375,5686,16384,1,2825,1.0,4.350420811017598,0.43963623046875,1320,5686
102,1320,103,0.3411865234375,5590,16384,1,2669,1.0,4.234848484848484,0.429443359375,1240,5590
103,1342,104,0.33441162109375,5479,16384,1,2554,1.0,4.0827123695976155,0.418701171875,1191,5479
104,1357,105,0.326904296875,5356,16384,1,2371,1.0,3.9469417833456153,0.408935546875,1138,5356
