,Density Trees,Fine,On fire,Burned
0,0.8979,8962,17,0
1,0.8999,8956,43,0
2,0.9019,8958,61,0
3,0.9039,8949,90,0
4,0.9059,8949,110,0
5,0.9079,8944,135,0
6,0.9099,8941,158,0
7,0.9119,8929,190,0
8,0.9139,8898,241,0
9,0.9159,8869,290,0
10,0.9179,8829,350,0
11,0.9199,8772,427,0
12,0.9219,8711,508,0
13,0.9239,8640,599,0
14,0.9259,8575,684,0
15,0.9279,8472,807,0
16,0.9299,8383,916,0
17,0.9319,8261,1058,0
18,0.9339,8166,1173,0
19,0.9359,8055,1304,0
20,0.9379,7921,1458,0
21,0.9399,7782,1617,0
22,0.9419,7651,1768,0
23,0.9439,7478,1961,0
24,0.9459,7326,2130,3
25,0.9476,7154,2318,4
26,0.9492,6971,2515,6
27,0.9506,6765,2730,11
28,0.9515,6581,2926,8
29,0.9527,6407,3114,6
30,0.9541,6211,3323,7
31,0.9554,6011,3533,10
32,0.9564,5818,3737,9
33,0.9575,5604,3962,9
34,0.9586,5395,4176,15
35,0.9591,5173,4399,19
36,0.9592,4923,4641,28
37,0.9584,4693,4870,21
38,0.9583,4490,5071,22
39,0.9581,4254,5303,24
40,0.9577,4034,5513,30
41,0.9567,3819,5707,41
42,0.9546,3564,5942,40
43,0.9526,3317,6167,42
44,0.9504,3096,6359,49
45,0.9475,2835,6579,61
46,0.9434,2630,6757,47
47,0.9407,2444,6903,60
48,0.9367,2305,6986,76
49,0.9311,2141,7086,84
50,0.9247,1982,7168,97
51,0.917,1797,7292,81
52,0.9109,1619,7403,87
53,0.9042,1466,7480,96
54,0.8966,1293,7605,68
55,0.8918,1186,7643,89
56,0.8849,1044,7710,95
57,0.8774,944,7712,118
58,0.8676,841,7717,118
59,0.8578,745,7712,121
60,0.8477,672,7663,142
61,0.8355,613,7609,133
62,0.8242,528,7576,138
63,0.8124,463,7517,144
64,0.8,406,7447,147
65,0.7873,343,7387,143
66,0.775,294,7304,152
67,0.7618,259,7208,151
68,0.7487,239,7103,145
69,0.7362,207,6980,175
70,0.7207,195,6854,158
71,0.7069,194,6735,140
72,0.6949,182,6626,141
73,0.6828,179,6504,145
74,0.6703,178,6376,149
75,0.6574,168,6233,173
76,0.6421,169,6084,168
77,0.6273,166,5956,151
78,0.6142,175,5789,178
79,0.5984,179,5649,156
80,0.5848,178,5524,146
81,0.5722,181,5398,143
82,0.5599,185,5299,115
83,0.5504,189,5198,117
84,0.5407,185,5091,131
85,0.5296,190,4971,135
86,0.5181,196,4844,141
87,0.506,196,4737,127
88,0.4953,201,4626,126
89,0.4847,218,4515,114
90,0.4753,219,4443,91
91,0.4682,222,4362,98
92,0.4604,230,4260,114
93,0.451,238,4177,95
94,0.4435,242,4095,98
95,0.4357,248,4016,93
96,0.4284,246,3953,85
97,0.4219,248,3880,91
98,0.4148,273,3780,95
99,0.4073,272,3720,81
100,0.4012,282,3659,71
101,0.3961,298,3593,70
102,0.3911,305,3538,68
103,0.3863,313,3500,50
104,0.3833,313,3460,60
105,0.3793,317,3419,57
106,0.3756,335,3370,51
107,0.3725,341,3331,53
108,0.3692,346,3280,66
109,0.3646,354,3240,52
110,0.3614,364,3197,53
111,0.3581,378,3146,57
112,0.3544,384,3096,64
113,0.35,386,3053,61
114,0.3459,383,3006,70
115,0.3409,397,2958,54
116,0.3375,400,2912,63
117,0.3332,412,2869,51
118,0.3301,424,2822,55
119,0.3266,433,2780,53
120,0.3233,440,2736,57
121,0.3196,440,2692,64
122,0.3152,449,2627,76
123,0.3096,452,2595,49
124,0.3067,463,2545,59
125,0.3028,472,2487,69
126,0.2979,478,2432,69
127,0.293,493,2352,85
128,0.2865,504,2291,70
129,0.2815,516,2224,75
130,0.276,525,2169,66
131,0.2714,538,2110,66
132,0.2668,552,2048,68
133,0.262,567,1987,66
134,0.2574,573,1923,78
135,0.2516,585,1854,77
136,0.2459,600,1786,73
137,0.2406,613,1733,60
138,0.2366,626,1678,62
139,0.2324,635,1632,57
140,0.2287,646,1562,79
141,0.2228,655,1496,77
142,0.2171,669,1433,69
143,0.2122,682,1385,55
144,0.2087,693,1324,70
145,0.2037,710,1266,61
146,0.1996,721,1204,71
147,0.1945,736,1157,52
148,0.1913,750,1099,64
149,0.1869,763,1069,37
150,0.1852,783,1009,60
151,0.1812,796,965,51
152,0.1781,819,905,57
153,0.1744,834,862,48
154,0.1716,851,826,39
155,0.1697,866,780,51
156,0.1666,879,746,41
157,0.1645,892,708,45
158,0.162,908,678,34
159,0.1606,919,650,37
160,0.1589,936,625,28
161,0.1581,952,603,26
162,0.1575,966,585,24
163,0.1571,979,573,19
164,0.1572,991,552,29
165,0.1563,1005,528,30
166,0.1553,1021,513,19
167,0.1554,1037,500,17
168,0.1557,1056,490,11
169,0.1566,1072,479,15
170,0.1571,1087,466,18
171,0.1573,1106,456,11
172,0.1582,1124,447,11
173,0.1591,1140,438,13
174,0.1598,1156,430,12
175,0.1606,1169,422,15
176,0.1611,1186,421,4
177,0.1627,1201,418,8
178,0.1639,1214,413,12
179,0.1647,1231,400,16
180,0.1651,1248,396,7
181,0.1664,1264,387,13
182,0.1671,1282,379,10
183,0.1681,1299,370,12
184,0.1689,1317,364,8
185,0.1701,1336,358,7
186,0.1714,1353,355,6
187,0.1728,1368,351,9
188,0.1739,1385,346,8
189,0.1751,1402,342,7
190,0.1764,1417,343,4
191,0.178,1433,340,7
192,0.1793,1448,340,5
193,0.1808,1466,331,11
194,0.1817,1485,324,8
195,0.1829,1503,317,9
196,0.184,1520,312,8
197,0.1852,1537,307,8
198,0.1864,1557,296,11
199,0.1873,1575,290,8
200,0.1885,1592,289,4
201,0.1901,1609,286,6
202,0.1915,1625,280,10
203,0.1925,1643,275,7
204,0.1938,1661,274,3
205,0.1955,1678,268,9
206,0.1966,1695,265,6
207,0.198,1711,260,9
208,0.1991,1729,257,5
209,0.2006,1748,252,6
210,0.202,1768,247,5
211,0.2035,1785,244,6
212,0.2049,1804,236,9
213,0.206,1822,230,8
214,0.2072,1841,224,7
215,0.2085,1859,221,5
216,0.21,1877,219,4
217,0.2116,1891,222,3
218,0.2133,1904,226,3
219,0.215,1925,221,4
220,0.2166,1943,215,8
221,0.2178,1961,209,8
222,0.219,1981,204,5
223,0.2205,1999,198,8
224,0.2217,2015,194,8
225,0.2229,2029,195,5
226,0.2244,2047,189,8
227,0.2256,2065,183,8
228,0.2268,2081,183,4
229,0.2284,2098,182,4
230,0.23,2114,183,3
231,0.2317,2135,179,3
232,0.2334,2151,179,4
233,0.235,2166,178,6
234,0.2364,2186,174,4
235,0.238,2204,174,2
236,0.2398,2220,175,3
237,0.2415,2236,177,2
238,0.2433,2256,172,5
239,0.2448,2275,170,3
240,0.2465,2294,165,6
241,0.2479,2314,159,6
242,0.2493,2332,155,6
243,0.2507,2347,158,2
244,0.2525,2363,160,2
245,0.2543,2383,157,3
246,0.256,2401,156,3
247,0.2577,2420,154,3
248,0.2594,2437,154,3
249,0.2611,2458,147,6
250,0.2625,2478,143,4
251,0.2641,2496,140,5
252,0.2656,2517,138,1
253,0.2675,2536,138,1
254,0.2694,2555,137,2
255,0.2712,2574,136,2
256,0.273,2590,135,5
257,0.2745,2608,135,2
258,0.2763,2623,135,5
259,0.2778,2642,131,5
260,0.2793,2662,129,2
261,0.2811,2681,124,6
262,0.2825,2698,125,2
263,0.2843,2720,120,3
264,0.286,2740,117,3
265,0.2877,2761,110,6
266,0.2891,2781,106,4
267,0.2907,2802,102,3
268,0.2924,2822,100,2
269,0.2942,2840,98,4
270,0.2958,2860,95,3
271,0.2975,2878,96,1
272,0.2994,2897,97,0
273,0.3014,2918,95,1
274,0.3033,2937,94,2
275,0.3051,2956,92,3
276,0.3068,2976,88,4
277,0.3084,2992,89,3
278,0.3101,3011,86,4
279,0.3117,3028,88,1
280,0.3136,3048,86,2
281,0.3154,3068,83,3
282,0.3171,3087,81,3
283,0.3188,3105,82,1
284,0.3207,3125,78,4
285,0.3223,3144,77,2
286,0.3241,3160,75,6
287,0.3255,3175,78,2
288,0.3273,3193,77,3
289,0.329,3213,77,0
290,0.331,3230,78,2
291,0.3328,3245,81,2
292,0.3346,3264,80,2
293,0.3364,3283,81,0
294,0.3384,3303,80,1
295,0.3403,3323,78,2
296,0.3421,3341,78,2
297,0.3439,3361,78,0
298,0.3459,3382,76,1
299,0.3478,3403,74,1
300,0.3497,3423,72,2
301,0.3515,3443,69,3
302,0.3532,3463,68,1
303,0.3551,3483,68,0
304,0.3571,3503,66,2
305,0.3589,3523,66,0
306,0.3609,3540,69,0
307,0.3629,3558,68,3
308,0.3646,3579,67,0
309,0.3666,3599,65,2
310,0.3684,3618,64,2
311,0.3702,3637,63,2
312,0.372,3657,61,2
313,0.3738,3676,62,0
314,0.3758,3695,63,0
315,0.3778,3710,68,0
316,0.3798,3729,66,3
317,0.3815,3751,61,3
318,0.3832,3771,57,4
319,0.3848,3791,55,2
320,0.3866,3810,52,4
321,0.3882,3831,50,1
322,0.3901,3851,49,1
323,0.392,3869,49,2
324,0.3938,3889,47,2
325,0.3956,3911,43,2
326,0.3974,3931,42,1
327,0.3993,3950,43,0
328,0.4013,3970,39,4
329,0.4029,3989,40,0
330,0.4049,4007,42,0
331,0.4069,4027,41,1
332,0.4088,4045,43,0
333,0.4108,4064,44,0
334,0.4128,4081,47,0
335,0.4148,4102,44,2
336,0.4166,4119,47,0
337,0.4186,4138,47,1
338,0.4205,4155,47,3
339,0.4222,4173,48,1
340,0.4241,4188,53,0
341,0.4261,4206,53,2
342,0.4279,4223,56,0
343,0.4299,4237,61,1
344,0.4318,4256,62,0
345,0.4338,4271,66,1
346,0.4357,4289,67,1
347,0.4376,4301,75,0
348,0.4396,4315,80,1
349,0.4415,4326,89,0
350,0.4435,4343,91,1
351,0.4454,4360,94,0
352,0.4474,4376,98,0
353,0.4494,4394,98,2
354,0.4512,4412,99,1
355,0.4531,4430,101,0
356,0.4551,4444,107,0
357,0.4571,4459,110,2
358,0.4589,4474,114,1
359,0.4608,4492,115,1
360,0.4627,4506,121,0
361,0.4647,4525,121,1
